Date,Price,Vol.
26-Jan-18,"7,505.77",485.12M
25-Jan-18,"7,411.16",464.67M
24-Jan-18,"7,415.06",520.52M
23-Jan-18,"7,460.29",472.92M
22-Jan-18,"7,408.03",501.22M
19-Jan-18,"7,336.38",510.98M
18-Jan-18,"7,296.05",463.52M
17-Jan-18,"7,298.28",518.58M
16-Jan-18,"7,223.69",577.49M
12-Jan-18,"7,261.06",464.78M
11-Jan-18,"7,211.78",456.81M
10-Jan-18,"7,153.57",457.15M
09-Jan-18,"7,163.58",491.70M
08-Jan-18,"7,157.39",497.21M
05-Jan-18,"7,136.56",476.41M
04-Jan-18,"7,077.91",493.88M
03-Jan-18,"7,065.53",483.92M
02-Jan-18,"7,006.90",462.20M
29-Dec-17,"6,903.39",422.84M
28-Dec-17,"6,950.16",293.06M
27-Dec-17,"6,939.34",316.13M
26-Dec-17,"6,936.25",322.15M
22-Dec-17,"6,959.96",372.94M
21-Dec-17,"6,965.36",436.63M
20-Dec-17,"6,960.96",442.66M
19-Dec-17,"6,963.85",514.90M
18-Dec-17,"6,994.76",539.24M
15-Dec-17,"6,936.58",1.42B
14-Dec-17,"6,856.53",496.56M
13-Dec-17,"6,875.80",490.98M
12-Dec-17,"6,862.32",456.45M
11-Dec-17,"6,875.08",448.36M
08-Dec-17,"6,840.08",429.26M
07-Dec-17,"6,812.84",475.25M
06-Dec-17,"6,776.38",454.87M
05-Dec-17,"6,762.21",518.90M
04-Dec-17,"6,775.37",600.98M
01-Dec-17,"6,847.59",547.88M
30-Nov-17,"6,873.97",730.82M
29-Nov-17,"6,824.39",586.18M
28-Nov-17,"6,912.36",477.32M
27-Nov-17,"6,878.52",444.30M
24-Nov-17,"6,889.16",223.07M
22-Nov-17,"6,867.36",386.64M
21-Nov-17,"6,862.48",465.90M
20-Nov-17,"6,790.71",437.87M
17-Nov-17,"6,782.79",493.18M
16-Nov-17,"6,793.29",476.98M
15-Nov-17,"6,706.21",457.21M
14-Nov-17,"6,737.87",462.99M
13-Nov-17,"6,757.60",462.89M
10-Nov-17,"6,750.94",464.51M
09-Nov-17,"6,750.05",517.86M
08-Nov-17,"6,789.12",509.54M
07-Nov-17,"6,767.78",531.06M
06-Nov-17,"6,786.44",524.23M
03-Nov-17,"6,764.44",521.39M
02-Nov-17,"6,714.94",533.72M
01-Nov-17,"6,716.53",491.99M
31-Oct-17,"6,727.67",509.98M
30-Oct-17,"6,698.96",477.43M
27-Oct-17,"6,701.26",566.65M
26-Oct-17,"6,556.77",496.86M
25-Oct-17,"6,563.89",493.72M
24-Oct-17,"6,598.43",421.46M
23-Oct-17,"6,586.83",417.64M
20-Oct-17,"6,629.05",457.36M
19-Oct-17,"6,605.07",424.74M
18-Oct-17,"6,624.22",390.34M
17-Oct-17,"6,623.66",375.08M
16-Oct-17,"6,624.01",373.94M
13-Oct-17,"6,605.80",417.54M
12-Oct-17,"6,591.51",476.36M
11-Oct-17,"6,603.55",429.37M
10-Oct-17,"6,587.25",401.70M
09-Oct-17,"6,579.73",359.14M
06-Oct-17,"6,590.18",410.59M
05-Oct-17,"6,585.36",422.21M
04-Oct-17,"6,534.63",434.61M
03-Oct-17,"6,531.71",438.92M
02-Oct-17,"6,516.72",448.11M
29-Sep-17,"6,495.96",492.43M
28-Sep-17,"6,453.45",428.05M
27-Sep-17,"6,453.26",470.98M
26-Sep-17,"6,380.16",439.70M
25-Sep-17,"6,370.59",486.99M
22-Sep-17,"6,426.92",388.10M
21-Sep-17,"6,422.69",400.64M
20-Sep-17,"6,456.04",470.40M
19-Sep-17,"6,461.32",430.73M
18-Sep-17,"6,454.64",445.50M
15-Sep-17,"6,448.47",1.19B
14-Sep-17,"6,429.08",430.37M
13-Sep-17,"6,460.19",447.20M
12-Sep-17,"6,454.28",404.69M
11-Sep-17,"6,432.26",431.57M
08-Sep-17,"6,360.19",408.11M
07-Sep-17,"6,397.87",433.05M
06-Sep-17,"6,393.31",419.28M
05-Sep-17,"6,375.57",438.96M
01-Sep-17,"6,435.33",347.64M
31-Aug-17,"6,428.66",478.19M
30-Aug-17,"6,368.31",384.51M
29-Aug-17,"6,301.89",379.62M
28-Aug-17,"6,283.02",384.99M
25-Aug-17,"6,265.64",343.10M
24-Aug-17,"6,271.33",369.11M
23-Aug-17,"6,278.41",349.56M
22-Aug-17,"6,297.48",363.16M
21-Aug-17,"6,213.13",375.22M
18-Aug-17,"6,216.53",469.44M
17-Aug-17,"6,221.91",435.27M
16-Aug-17,"6,345.11",396.20M
15-Aug-17,"6,333.01",368.07M
14-Aug-17,"6,340.23",410.78M
11-Aug-17,"6,256.56",418.07M
10-Aug-17,"6,216.87",495.54M
09-Aug-17,"6,352.33",469.74M
08-Aug-17,"6,370.46",445.32M
07-Aug-17,"6,383.77",408.69M
04-Aug-17,"6,351.56",443.76M
03-Aug-17,"6,340.34",476.05M
02-Aug-17,"6,362.65",490.37M
01-Aug-17,"6,362.94",426.55M
31-Jul-17,"6,348.12",485.92M
28-Jul-17,"6,374.68",436.77M
27-Jul-17,"6,382.19",564.93M
26-Jul-17,"6,422.75",433.53M
25-Jul-17,"6,412.17",479.54M
24-Jul-17,"6,410.81",418.95M
21-Jul-17,"6,387.75",468.14M
20-Jul-17,"6,390.00",414.71M
19-Jul-17,"6,385.04",423.94M
18-Jul-17,"6,344.31",388.97M
17-Jul-17,"6,314.43",367.32M
14-Jul-17,"6,312.47",364.80M
13-Jul-17,"6,274.44",423.33M
12-Jul-17,"6,261.17",424.25M
11-Jul-17,"6,193.31",426.66M
10-Jul-17,"6,176.39",409.75M
07-Jul-17,"6,153.08",397.25M
06-Jul-17,"6,089.46",514.78M
05-Jul-17,"6,150.85",462.92M
03-Jul-17,"6,110.06",272.19M
30-Jun-17,"6,140.42",501.47M
29-Jun-17,"6,144.35",528.05M
28-Jun-17,"6,234.41",461.44M
27-Jun-17,"6,146.62",490.36M
26-Jun-17,"6,247.15",455.73M
23-Jun-17,"6,265.25",1.46B
22-Jun-17,"6,236.69",471.36M
21-Jun-17,"6,233.95",491.84M
20-Jun-17,"6,188.03",488.69M
19-Jun-17,"6,239.01",447.66M
16-Jun-17,"6,151.76",1.31B
15-Jun-17,"6,165.50",436.59M
14-Jun-17,"6,194.89",457.03M
13-Jun-17,"6,220.37",525.01M
12-Jun-17,"6,175.47",604.27M
09-Jun-17,"6,207.92",670.48M
08-Jun-17,"6,321.76",484.13M
07-Jun-17,"6,297.38",432.54M
06-Jun-17,"6,275.06",430.50M
05-Jun-17,"6,295.68",398.25M
02-Jun-17,"6,305.80",454.57M
01-Jun-17,"6,246.83",502.29M
31-May-17,"6,198.52",697.15M
30-May-17,"6,203.19",402.25M
26-May-17,"6,210.19",373.96M
25-May-17,"6,205.26",417.08M
24-May-17,"6,163.02",400.25M
23-May-17,"6,138.71",407.73M
22-May-17,"6,133.62",421.95M
19-May-17,"6,083.70",517.15M
18-May-17,"6,055.13",511.17M
17-May-17,"6,011.24",565.78M
16-May-17,"6,169.87",460.05M
15-May-17,"6,149.67",452.00M
12-May-17,"6,121.23",412.46M
11-May-17,"6,115.96",452.52M
10-May-17,"6,129.14",482.51M
09-May-17,"6,120.59",466.70M
08-May-17,"6,102.66",459.30M
05-May-17,"6,100.76",443.62M
04-May-17,"6,075.34",481.85M
03-May-17,"6,072.55",498.86M
02-May-17,"6,095.37",498.62M
01-May-17,"6,091.60",416.34M
28-Apr-17,"6,047.61",523.42M
27-Apr-17,"6,048.94",461.83M
26-Apr-17,"6,025.23",454.58M
25-Apr-17,"6,025.49",441.93M
24-Apr-17,"5,983.82",446.56M
21-Apr-17,"5,910.52",454.58M
20-Apr-17,"5,916.78",417.89M
19-Apr-17,"5,863.03",415.53M
18-Apr-17,"5,849.47",391.18M
17-Apr-17,"5,856.79",346.62M
13-Apr-17,"5,805.15",384.04M
12-Apr-17,"5,836.16",408.74M
11-Apr-17,"5,866.77",449.36M
10-Apr-17,"5,880.93",389.31M
07-Apr-17,"5,877.81",414.27M
06-Apr-17,"5,878.95",448.41M
05-Apr-17,"5,864.48",555.35M
04-Apr-17,"5,898.61",445.39M
03-Apr-17,"5,894.68",453.50M
31-Mar-17,"5,911.74",529.14M
30-Mar-17,"5,914.34",396.49M
29-Mar-17,"5,897.55",397.14M
28-Mar-17,"5,875.14",437.23M
27-Mar-17,"5,840.37",410.07M
24-Mar-17,"5,828.74",456.99M
23-Mar-17,"5,817.69",414.69M
22-Mar-17,"5,821.64",442.89M
21-Mar-17,"5,793.82",528.08M
20-Mar-17,"5,901.53",407.11M
17-Mar-17,"5,901.00",1.35B
16-Mar-17,"5,900.76",412.39M
15-Mar-17,"5,900.05",468.32M
14-Mar-17,"5,856.82",390.46M
13-Mar-17,"5,875.78",405.74M
10-Mar-17,"5,861.73",476.86M
09-Mar-17,"5,838.81",423.01M
08-Mar-17,"5,837.55",422.94M
07-Mar-17,"5,833.93",418.89M
06-Mar-17,"5,849.18",412.85M
03-Mar-17,"5,870.75",424.84M
02-Mar-17,"5,861.22",454.31M
01-Mar-17,"5,904.03",522.79M
28-Feb-17,"5,825.44",620.83M
27-Feb-17,"5,861.90",447.06M
24-Feb-17,"5,845.31",419.25M
23-Feb-17,"5,835.51",444.62M
22-Feb-17,"5,860.63",422.84M
21-Feb-17,"5,865.95",453.57M
17-Feb-17,"5,838.58",500.75M
16-Feb-17,"5,814.90",441.52M
15-Feb-17,"5,819.44",450.50M
14-Feb-17,"5,782.57",431.56M
13-Feb-17,"5,763.96",404.16M
10-Feb-17,"5,734.13",421.00M
09-Feb-17,"5,715.18",439.63M
08-Feb-17,"5,682.45",444.98M
07-Feb-17,"5,674.22",440.96M
06-Feb-17,"5,663.55",397.57M
03-Feb-17,"5,666.77",411.17M
02-Feb-17,"5,636.20",471.57M
01-Feb-17,"5,642.65",499.98M
31-Jan-17,"5,614.79",506.36M
30-Jan-17,"5,613.71",417.27M
27-Jan-17,"5,660.78",386.97M
26-Jan-17,"5,655.18",426.44M
25-Jan-17,"5,656.34",435.79M
24-Jan-17,"5,600.96",409.12M
23-Jan-17,"5,552.94",389.91M
20-Jan-17,"5,555.33",444.46M
19-Jan-17,"5,540.08",398.66M
18-Jan-17,"5,555.65",380.31M
17-Jan-17,"5,538.73",415.58M
13-Jan-17,"5,574.12",357.66M
12-Jan-17,"5,547.49",394.73M
11-Jan-17,"5,563.65",435.71M
10-Jan-17,"5,551.82",431.57M
09-Jan-17,"5,531.82",433.10M
06-Jan-17,"5,521.06",382.85M
05-Jan-17,"5,487.94",423.64M
04-Jan-17,"5,477.01",455.34M
03-Jan-17,"5,429.08",450.68M
